id,clean_message,majority_vote,relevant_pieces
23107796_gab,u really think i would not have been raped by feral hindu or muslim back in india or bangladesh and a neo nazi would rape me as well just to see me cry,hate speech,raped neo nazi
9995600_gab,the uk has threatened to return radioactive waste to the eu if an agreement cannot be reached can not we keep the radioactive waste and send back all the paki migrants instead,hate speech,paki
1227920812235051008_twitter,if english is not imposition then hindi is also not imposition shut up chutiya retards stophindiimposition,hate speech,retards
1204931715778543624_twitter,no liberal congratulated hindu refugees post cab because they hate hindus,hate speech,hate hindus
1179102559241244672_twitter,he said bro even your texts sound redneck whatever the fuck that means 😂 🤷 🏻 ‍ ♂️,hate speech,redneck
13459307_gab,in britain the prime minister a childless woman london mayor a moslem invader in command of london police a lesbian in command of london fire brigade a fat woman scotland first minister a childless woman,normal,moslem invader
16382456_gab,the non partisan congressional budget office cbo has released their report on sens lindsey graham and dick durbin  the dream act the report shows that their legislation would add  billion to the deficit over a ten year period and lots more immigrant scum,normal,immigrant scum
1143683682869436416_twitter,americans dead because of an illegal immigrant this is infuriating enforce our laws deport them,normal,
17847556_gab,thank a white man you live in his world and why do you islanders say you are canadian so rude really if i lived in a brown country even with citizenship i would never call myself ethiopian chinese indian you are a caribbean living in canada,normal,brown country you are a caribbean living in canada
1177990839177490432_twitter,nigger faggot retard beaner dishwasher time to see if i get ban,normal,nigger faggot retard beaner
21760024_gab,that a retarded non argument the bible is also a best seller in communist china,normal,retarded
24649974_gab,every time a nigger in africa gets pregnant abort it make it a law you can about up to  years,normal,nigger in africa
26012116_gab,nothing royal about this wedding he is a bastard and she is a nignog halfbreed thot and a divorced catholic to boot it is notable that both the father of the bride and the father of the groom did not attend,normal,nignog halfbreed thot
15062597_gab,what sort of white man or woman would vote for this nigger,normal,nigger
27618184_gab,diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate,normal,diversity is a code word for white genocide immigrants contribute and integrate 3 rd world retards freeload and fornicate
1276558752913805312_twitter,hindu army ’ disrespecting islam now 🙄 acting like your countries don ’ t mass murder them on a bi yearly basis stfu,hate speech,
18121370_gab,stupid nigger given grades admissioin to school job degree position he never earned and doesnt have iq for fuck off,normal,nigger
15716977_gab,bump dis nigger,normal,nigger
20836997_gab,how pissed are you if you are japanese chinese korean ya know real asians and now the goat fuckers are called asian too to avoid calling them arabs,normal,japanese chinese korean ya know real asians
1191835760376332288_twitter,i ’ ve always wanted to beat up a nigga in front of his child so the child can grow up and remember it forever,normal,nigga
13517786_gab,they used to have cracker and honky now they have antiracist them to us racist us and nazi does this mean i can say nigger faggot kike sandnigger and spic again fuck you anti white scum 😬,hate speech,cracker and honky nigger faggot kike sandnigger and spic anti white scum
1178780987049889794_twitter,this nigger calling me juicy lips over the phone wtf,normal,nigger
27287978_gab,a nigger bich will never have strait hair so keep wearing dat horsehair weave,normal,nigger
3654285_gab,apparently some vile nigger animals kidnapped a white special needs teen and tortured and scalped him while shouting fuck white people fuck trump are you being armed and are you shooting in the head when these zombies approach,normal,nigger animals
1179012930681085952_twitter,you need potassium eat a banana you fucking nigger,normal,you fucking nigger
5695445_gab,well then send some coon estrogen to my wife she turning more liberal breath by breath due to fake news i do not know how much more i can take hell between her and my two daughters hormones i have started growing breast tissue like pseudo naturally becoming bruce jenner,normal,coon
1185218477478465536_twitter,it high time we hindus should think that these filthy muslims should be allowed to live here or not kamleshtiwari ypg yourprophetisgay,normal,filthy muslims yourprophetisgay
11200659_gab,i am sure you are totally the alpha faggot at the standard fuckparties,hate speech,alpha faggot fuckparties
1121631476909346816_twitter,aint he bisexual an lgbt king of gays even his mind,hate speech,lgbt king of gays
1178012240382967808_twitter,you insecure lowlife broke ass desperate woman beating momma boy ass niggas are fucking sick get a grip on reality hoe dumbass dykes,hate speech,dykes
7047490_gab,i guess this nigger and his mudshark are unaware of the merchant this is some hilarious trolling,normal,nigger mudshark
