text,user_id,subforum_id,num_contexts,label
Is it a competition on TV to get the most alien looking black and to put them with a white woman ?,575589,1387,2,0
Here is some sound medical advice and some swears from the Macc Lads .,574902,1387,0,0
Screen Wait till the end when the Blond girlfriend comes in ...,575736,1346,0,0
No it is not accepted and it is pushed in our face by the joo run media time and time again but most people who dissaprove of mixed raced relationships just ignore the people involved .,595808,1387,0,0
The cw are a nationalist/white pride group and have been around since 02 .,591126,1391,0,0
Can someone suggest any reliable online sources for information on the anthropological classifications of the different populations in the Scandinavian / Baltic countries ?,572043,1393,0,0
"Take pics of blacks , junkies and gangsters on the streets and next take pics of the schools .",581674,1362,0,0
"We have more than a few of them , but thankfully not every kid here is like this .",572445,1371,0,0
"I simply would not care to see some white guy 's head on a stick , like I have seen mexicans that cross the cartel .",572622,1346,0,0
LOL Tim,576363,1359,2,0
I hope you all stick around on SF and become involved/stay involved with nationalist politics .,577318,1387,0,0
I had to start a new thread seeing as this thread was no longer functioning properly .,572066,1346,0,0
These things make me sick !,614438,1371,0,0
Not to mention that its a business in jails among the gangs too .,572312,1371,0,0
"I havent even paid for not one single ppv , so its not like Im stopping my support , lol By the way , to the guy that said Demian Maia is white ... yes , hes white , just like Erick Silva .",572151,1359,0,0
"YouTube - White family beaten by mob of blacks YouTube - Black gang in Des Moines , Iowa chants `` It 's Beat Whitey Night '' as they assault white people YouTube - Black Man Punches Blind White Woman On Bus",579751,1347,0,0
88 In the end is victory,576266,1371,0,0
I believe that Ireland needs a WN party and quite quickly after the amount of non whites that I seen while in Dublin .,573657,1391,0,0
Joyful times indeed !,595869,1387,0,0
I wish you every success .,573146,1380,0,0
Good back up because you just never know .,576505,1359,0,0
I went to buy some new socks today and a couple of t-shirts .,576755,1346,0,0
Racily very little has changed .,614293,1371,0,0
Don't start me raging on all the German and Swedish students we have here taking places from the country 's native people I can imagine there is quite alot Finns in Swedens universities though .,577212,1362,0,0
"let me say it like this : I HATE SCHOOL , I HATE LEARNING AND I HATE READING .",626562,1363,0,0
"From your one time enemies , and now eternal allies , the English",572921,1387,0,0
They blackmail shop-owners and give them protection so they claim .,589254,1393,0,0
That Ca n't be good !!,581214,1393,0,0
"Microsoft , Amazon , Intel , Hewlett Packard all prefer Hindus and Chinese to Americans .",577580,1362,0,0
"Another songwriter encouraged many more people to come : `` If you 're going to San Francisco , be sure to wear a flower in your hair . ''",576945,1375,0,0
"So you advocate independence , just to join another sovereign Nation ( As Wales would be in this hypothetical scenario ) ?",575175,1387,2,0
Presumably you are not in favour of mass white immigration simply on the shallow account that they are agreeable to your sensibilities ?,592518,1391,0,0
"Sid Wore that shirt for Shock the sex pistols were NEVER racist , a good example of a racist punk band is Agnostic Front .",574329,1363,0,0
Everything in the NT is Christ inspired and the NT has no requirement for circumcision .,574052,1348,1,0
I'm looking for an intelligent White man with a sense of humor between the ages of 21-32 .,599484,1381,0,0
Irish nackers do that themselves .,589338,1391,0,0
First impressions ...,572095,1380,0,0
To close for me to call .,575683,1371,0,0
It is nothing short of hysterical that you are such a retard you have to TELL us in your username that you are `` educated . '',573247,1371,0,0
A few years back my son had a English teacher that was from south America that couldnt hardly speak english yet she was teaching it,580577,1362,0,0
"[ 85.362 ] [ 228.275 ] April 4 The NBC TV network airs the Walt Disney 's Wonderful World of Color show , featuring Kilroy , part four .",578829,1380,0,0
