id,clean_message,majority_vote,relevant_pieces,classification,confidence,reasoning
1252707503441313794_twitter,why are you repeating yourself are you a little retarded,hate speech,retarded,hate speech,0.85,"The term 'retarded' is considered derogatory and offensive when used to describe someone's mental capacity. This language can perpetuate stigma against individuals with intellectual disabilities, which classifies it as hate speech."
1103385226921762816_twitter,well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,normal,muslim she hates the jews jew hatred islam,hate speech,0.95,"The message contains a generalization about Muslims and associates them with hatred towards Jews, which promotes negative stereotypes and incites division between religious groups. This type of rhetoric is considered hate speech as it targets a specific religious group and perpetuates harmful narratives."
1169443635869487105_twitter,lol not me i don ’ t deal with bms not outside children ’ ss i leave that ghetto mess for everybody else 😂 😂 😂,hate speech,ghetto,hate speech,0.85,"The message contains derogatory language ('ghetto mess') that targets a specific group, implying a negative stereotype about people from certain backgrounds. The use of 'bms' (which could refer to a derogatory term for single mothers) further suggests a disdainful attitude towards a demographic, indicating hate speech."
17372469_gab,an these nigger biches look like godzilla nasty,normal,nigger,hate speech,0.95,"The message contains a racial slur ('nigger') and derogatory language ('biches' and 'godzilla nasty') directed at a specific group, which qualifies it as hate speech. The use of such terms is intended to demean and dehumanize individuals based on their race."
1168407844095483904_twitter,yeah humnh what how do i use this app i ’ m alittle retarded 👹,hate speech,retarded,hate speech,0.85,"The use of the term 'retarded' is derogatory and offensive, as it is often used to demean individuals with intellectual disabilities. This language can perpetuate stigma and discrimination against marginalized groups."
12643541_gab,black people are oppressed by their own culture and community blacks need to wake and realize the democrats party is the racist party that uses them for votes the kk democrats have broken up the black family and run the community onto the ghetto plantation to control it youvebeenpunkd,hate speech,black people are oppressed by their own culture and community run the community onto the ghetto plantation,hate speech,0.85,"The message contains derogatory language and stereotypes about black people, suggesting that their culture is the source of their oppression. It also promotes a divisive narrative about political parties and uses inflammatory language that can incite hatred or resentment towards a specific group."
24305062_gab,education or marxist indoctrination since it is well established blacks are incapable of learning anything past the age of ten unless they are half white should not blacks go to a trade school upon age  say learning how to pick cotton fruits and vegetables,normal,blacks are incapable of learning,hate speech,0.95,"The message contains racist stereotypes about Black individuals, suggesting they are 'incapable of learning' and promoting derogatory ideas about their education and abilities. This language is discriminatory and perpetuates harmful racial biases."
18943330_gab,the muzzie loving natsoc get the sword,normal,muzzie,hate speech,0.85,"The term 'muzzies' is a derogatory slang for Muslims, and 'natsoc' refers to national socialism, which is often associated with extremist ideologies. The phrase suggests violence ('get the sword'), indicating a hostile sentiment towards a specific group."
1077853_gab,tbtc take back the country toxic masculinity patriarchy harm men noxious femaleness and public slut posturing empower women neither feminism nor now could have pulled this off this is the doing of taxpayer supported state university system maga,hate speech,masculinity,hate speech,0.85,"The message contains derogatory language towards women ('noxious femaleness', 'public slut posturing') and promotes a negative view of feminism, which can be interpreted as an attack on a specific gender and ideology. The use of terms like 'toxic masculinity' and 'patriarchy' in a dismissive context further suggests a hostile attitude towards movements aimed at gender equality."
1162547667416899586_twitter,there too many wypipo asking what this is and if they can get in this is a niggers only event,normal,niggers,hate speech,0.95,"The message contains racially derogatory terms and explicitly excludes individuals based on their race, which is characteristic of hate speech."
1178412537496383488_twitter,dont buy a mouse on media markt fucking niggers giving me fake logitech mouse turns off the middle of the ranked,normal,niggers,hate speech,0.95,The message contains a racial slur ('niggers') which is a derogatory term aimed at a specific racial group. This language is considered hate speech as it promotes hatred and discrimination against that group.
20989384_gab,i hope there are not many of my fellow asians in sweden high chance of falling victim to islamic rape gangs in that country,normal,islamic rape gangs,hate speech,0.85,"The message expresses a negative sentiment towards a specific group (Asians) and associates them with a harmful stereotype regarding 'Islamic rape gangs.' This promotes fear and prejudice against both Asians and Muslims, which qualifies it as hate speech."
